Index;Sovrano;Nome;Terreno;MP;Città;Produzione
T001;Regno di Granada;Al-Andalus;Colline;2;;
T002;Despotato d'Epiro;Albania;Colline;2;;
T003;Regno del Portogallo;Alentejo;Pianure;1;Lisbona;Vino
T004;Regno del Portogallo;Algarve;Pianure;1;;
T005;Sultanato dei Hafsidi;Algeria;Colline;2;;
T006;Corona di Castiglia;Andalusia;Pianure;1;;
T007;Regno di Francia;Angiò;Pianure;1;;
T008;Regno d'Inghilterra;Aquitania;Foreste;2;;
T009;Corona di Aragona;Aragona;Montagne;3;;
T010;Il Khanato;Armenia;Montagne;3;;
T011;Corona di Castiglia;Asturie;Colline;2;;
T012;Emirato Zayanid;Atlante;Colline;2;;
T013;Sultanato Dei Mamelucchi;Badiya;Deserto;1;Damasco;Metalli
T014;Corona di Aragona;Baleari;Pianure;1;;
T015;Regno di Ungheria;Banato;Pianure;1;;
T016;Khanato dell'Orda d'Oro;Basso Volga;Pianure;1;Saraj;Spezie
T017;Sacro Romano Impero;Baviera;Montagne;3;;
T018;Repubblica di Novgorod;Lago Bianco;Foreste;2;;
T019;Khanato dell'Orda d'Oro;Bassarabia;Pianure;1;;
T020;Repubblica di Novgorod;Bjarmaland;Foreste;2;;
T021;Principato di Polotsk;Bielorussia;Foreste;2;;
T022;Regno di Ungheria;Bihar;Foreste;2;;
T023;Basileia Ton Rhomaion;Bitinia;Colline;2;;
T024;Regno di Boemia;Boemia;Foreste;2;Praga;Metalli
T025;Regno di Francia;Borgogna;Foreste;2;;
T026;Ducato di Bretagna;Bretagna;Foreste;2;;
T027;Regno di Sicilia;Campania;Colline;2;Napoli;Sale
T028;Sultanato di Rum;Cappdocia;Colline;2;;
T029;Regno de Svezia;Carelia;Foreste;2;;
T030;Corona di Castiglia;Castiglia;Pianure;1;;
T031;Corona di Aragona;Catalogna;Colline;2;Barcellona;Vino
T032;Il Khanato;Caucaso;Montagne;3;;
T033;Regno di Francia;Champagne;Pianure;1;Parigi;Cereali
T034;Regno di Cipro;Cipro;Pianure;1;;
T035;Regno Armeno di Cilicia;Cilicia;Pianure;1;;
T036;Khanato dell'Orda d'Oro;Circassia;Pianure;1;;
T037;Repubblica di Genova;Corsica;Colline;2;;
T038;Stato Monastico dei Cavalieri Teutonici;Curlandia;Pianure;1;Riga;Schiavi
T039;Repubblica di Venezia;Creta;Pianure;1;Candia;Vino
T040;Repubblica di Genova;Crimea;Pianure;1;Caffa;Tessuti
T041;Regno di Ungheria;Croazia;Foreste;2;;
T042;Regno d'Inghilterra;Cumbria;Foreste;2;;
T043;Sultanato Dei Mamelucchi;Cirenaica;Deserto;1;;
T044;Repubblica di Venezia;Dalmazia;Colline;2;;
T045;Sultanato dei Hafsidi;Djerba;Deserto;1;;
T046;Secondo Impero Bulgaro;Dobrugia;Pianure;1;;
T047;Khanato dell'Orda d'Oro;Donets;Pianure;1;;
T048;Regno del Portogallo;Douro;Pianure;1;;
T049;Sultanato Dei Mamelucchi;Egitto;Deserto;1;;
T050;Regno d'Inghilterra;Anglia Orientale;Pianure;1;Londra;Tessuti
T051;Stato Monastico dei Cavalieri Teutonici;Estonia;Foreste;2;;
T052;Regno de Svezia;Finlandia;Foreste;2;;
T053;Regno di Francia;Fiandre;Pianure;1;Bruges;Tessuti
T054;Repubblica di Novgorod;Ocovia;Foreste;2;Novgorod;Pellicces
T055;Sacro Romano Impero;Franconia;Foreste;2;Colonia;Metalli
