Index;Souverain;Nom;Terrain;MP;Ville;Production
T001;Royaume de Grenade;Al-Andalus;Collines;2;;
T002;Despotat d'Épire;Albanie;Collines;2;;
T003;Royaume du Portugal;Alentejo;Plaines;1;Lisbonne;Vin
T004;Royaume du Portugal;Algarve;Plaines;1;;
T005;Sultanat Hafside;Algérie;Collines;2;;
T006;Couronne de Castille;Andalousie;Plaines;1;;
T007;Royaume de France;Anjou;Plaines;1;;
T008;Royaume d'Angleterre;Aquitaine;Forêts;2;;
T009;Couronne d'Aragon;Aragon;Montagnes;3;;
T010;Khanat de Perse;Arménie;Montagnes;3;;
T011;Couronne de Castille;Asturies;Collines;2;;
T012;Émirat Zianide;Atlas;Collines;2;;
T013;Sultanat Mamelouk;Badiya;Désert;1;Damas;Métal
T014;Couronne d'Aragon;Baléares;Plaines;1;;
T015;Royaume de Hongrie;Banat;Plaines;1;;
T016;Khanat de la Horde d'Or;Basse Volga;Plaines;1;Saraï;Épices
T017;Saint-Empire Germanique;Bavière;Montagnes;3;;
T018;République de Novgorod;Beloïe;Forêts;2;;
T019;Khanat de la Horde d'Or;Bessarabie;Plaines;1;;
T020;République de Novgorod;Biarmie;Forêts;2;;
T021;Principauté de Polotsk;Biélorussie;Forêts;2;;
T022;Royaume de Hongrie;Bihar;Forêts;2;;
T023;Empire Byzantin;Bithynie;Collines;2;;
T024;Royaume de Bohême;Bohême;Forêts;2;Prague;Métal
T025;Royaume de France;Bourgogne;Forêts;2;;
T026;Duché de Bretagne;Bretagne;Forêts;2;;
T027;Royaume de Sicile;Campanie;Collines;2;Naples;Sel
T028;Sultanat de Roum;Cappadoce;Collines;2;;
T029;Royaume de Suède;Carélie;Forêts;2;;
T030;Couronne de Castille;Castille;Plaines;1;;
T031;Couronne d'Aragon;Catalogne;Collines;2;Barcelone;Vin
T032;Khanat de Perse;Caucase;Montagnes;3;;
T033;Royaume de France;Champagne;Plaines;1;Paris;Céréales
T034;Royaume de Chypre;Chypre;Plaines;1;;
T035;Royaume Arménien de Cilicie;Cilicie;Plaines;1;;
T036;Khanat de la Horde d'Or;Circassie;Plaines;1;;
T037;République de Gênes;Corse;Collines;2;;
T038;États Teutoniques;Courlande;Plaines;1;Riga;Esclaves
T039;République de Venise;Crète;Plaines;1;Candie;Vin
T040;République de Gênes;Crimée;Plaines;1;Caffa;Tissu
T041;Royaume de Hongrie;Croatie;Forêts;2;;
T042;Royaume d'Angleterre;Cumbrie;Forêts;2;;
T043;Sultanat Mamelouk;Cyrénaïque;Désert;1;;
T044;République de Venise;Dalmatie;Collines;2;;
T045;Sultanat Hafside;Djerba;Désert;1;;
T046;Second Empire Bulgare;Dobroudja;Plaines;1;;
T047;Khanat de la Horde d'Or;Donets;Plaines;1;;
T048;Royaume du Portugal;Douro;Plaines;1;;
T049;Sultanat Mamelouk;Égypte;Désert;1;;
T050;Royaume d'Angleterre;Est-Anglia;Plaines;1;Londres;Tissu
T051;États Teutoniques;Estonie;Forêts;2;;
T052;Royaume de Suède;Finlande;Forêts;2;;
T053;Royaume de France;Flandre;Plaines;1;Bruges;Tissu
T054;République de Novgorod;Forêt d'Okov;Forêts;2;Novgorod;Fourrures
T055;Saint-Empire Germanique;Franconie;Forêts;2;Cologne;Métal
T056;Saint-Empire Germanique;Frise;Plaines;1;;
T057;Sultanat Hafside;Gabès;Désert;1;;
T058;Couronne de Castille;Galice;Forêts;2;Saint-Jacques de Compostelle;Sel
T059;Principauté de Galicie-Volhynie;Galicie;Plaines;1;;
T060;Royaume de Gwynedd;Galles;Collines;2;;
T061;Royaume d'Écosse;Galloway;Collines;2;;
T062;Royaume d'Angleterre;Gascogne;Plaines;1;Bordeaux;Vin
T063;Royaume de Géorgie;Géorgie;Montagnes;3;;
T064;Royaume de Suède;Gotaland;Forêts;2;;
T065;Cheikhat de l'Atlas;Grand Erg;Collines;2;;
T066;Royaume de Pologne;Grande Pologne;Plaines;1;Danzig;Fourrures
T067;Sultanat Mérinide;Haut Atlas;Montagnes;3;;
T068;Principauté de Smolensk;Haute Ruthénie;Plaines;1;;
T069;Principauté de Murom/Ryazan;Haute Volga;Plaines;1;;
T070;Royaume d'Écosse;Highlands;Collines;2;;
T071;Royaume du Danemark;Holstein;Plaines;1;Lubeck;Céréales
T072;Royaume de Norvège;Hordaland;Collines;2;Bergen;Fourrures
T073;Royaume de Norvège;Islande;Collines;2;;
T074;Sultanat Mamelouk;Jordanie;Désert;1;;
T075;Sultanat Mamelouk;Judée;Désert;1;Jérusalem;Sel
T076;Royaume du Danemark;Jutland;Plaines;1;;
T077;République de Novgorod;Ladoga;Forêts;2;;
T078;États Pontificaux;Latium;Collines;2;Rome;Vin
T079;Royaume d'Angleterre;Leinster;Plaines;1;Dublin;Fourrures
T080;Couronne de Castille;León;Plaines;1;;
T081;Sultanat Hafside;Leptis Magna;Désert;1;;
T082;République de Gênes;Ligurie;Collines;2;Gênes;Tissu
T083;Grand-Duché de Lituanie;Lituanie;Plaines;1;;
T084;États Teutoniques;Livonie;Forêts;2;;
T085;Commune de Milan;Lombardie;Plaines;1;;
T086;Royaume de France;Lorraine;Forêts;2;;
T087;Royaume d'Écosse;Lowlands;Collines;2;Edimbourg;Tissu
T088;Sultanat de Roum;Lycie;Collines;2;;
T089;Empire Byzantin;Lydie;Collines;2;;
T090;Empire Byzantin;Macédoine;Collines;2;;
T091;Couronne de Castille;Manche;Collines;2;Tolède;Métal
T092;Sultanat Mamelouk;Marmarique;Désert;1;Alexandrie;Épices
T093;Sultanat Mérinide;Massa;Plaines;1;;
T094;Khanat de Perse;Mésopotamie;Plaines;1;;
T095;Principauté de Vladimir;Moscovie;Plaines;1;Moscou;Esclaves
T096;Royaume de Munster;Munster;Plaines;1;;
T097;Couronne de Castille;Murcie;Collines;2;;
T098;Empire Byzantin;Mysie;Collines;2;;
T099;Royaume de Navarre;Navarre;Montagnes;3;;
T100;Royaume de France;Normandie;Plaines;1;;
T101;Royaume de Suède;Norrland;Forêts;2;;
T102;Sultanat Hafside;Oasis du Souf;Désert;1;;
T103;Royaume de France;Occitanie;Collines;2;;
T104;République de Novgorod;Onega;Forêts;2;;
T105;Émirat Zianide;Oranie;Plaines;1;;
T106;Saint-Empire Germanique;Palatinat;Forêts;2;;
T107;Comté de Tripoli;Palestine;Collines;2;;
T108;Royaume de Hongrie;Pannonie;Plaines;1;Buda;Esclaves
T109;Sultanat de Roum;Paphlagonie;Collines;2;;
T110;Empire Byzantin;Péloponnèse;Collines;2;;
T111;Khanat de Perse;Perse;Montagnes;3;;
T112;Royaume de Pologne;Petite Pologne;Plaines;1;;
T113;Principauté de Kiev;Podolie;Plaines;1;Kiev;Céréales
T114;Principauté de Tourov;Polésie;Plaines;1;;
