Index;Dominus;Nominum;Terrenum;MP;Civitas;Productio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T001;Regnum Granatæ;Al-Andalus;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T002;Despotatus Epiri;Albania;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T003;Regnum Portugalliæ;Alenteium;Plana;1;Olisbona;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T004;Regnum Portugalliæ;Algarbia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T005;Sultanatus Hafsidarum;Algeria;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T006;Corona Castellæ;Andalusia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T007;Regnum Franciæ;Andegavia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T008;Regnum Angliæ;Aquitania;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T009;Corona Aragoniæ;Aragonia;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T010;Chanatus Persidis;Armenia;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T011;Corona Castellæ;Asturia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T012;Emiratus Zianidarum;Atlas;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T013;Sultanatus Mamalucorum;Deserta Syriæ;Desertum;1;Damascus;Metallum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T014;Corona Aragoniæ;Insulæ Balearicæ;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T015;Regnum Hungariæ;Banatus;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T016;Chanatus Hordæ Aureæ;Rha Inferior;Plana;1;Sarai;Aromata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T017;Sacrum Imperium Romanum;Bavaria;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T018;Respublica Novogardiensis;Lacus Albus;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T019;Chanatus Hordæ Aureæ;Bessarabia;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T020;Respublica Novogardiensis;Biarmia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T021;Principatus Polocensis;Russia Alba;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T022;Regnum Hungariæ;Biharum;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T023;Imperium Byzantinum;Bithynia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T024;Regnum Bohemiæ;Bohemia;Silvæ;2;Praga;Metallum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T025;Regnum Franciæ;Burgundia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T026;Ducatus Britanniæ;Britannia Armorica;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T027;Regnum Siciliæ;Campania;Colles;2;Neapolis;Sal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T028;Sultanatus Rumi;Cappadocia;Colles;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T029;Regnum Sueciæ;Carelia;Silvæ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T030;Corona Castellæ;Castella;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T031;Corona Aragoniæ;Catalonia;Colles;2;Barcinona;Vinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T032;Chanatus Persidis;Caucasus;Montes;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T033;Regnum Franciæ;Campania;Plana;1;Parisius;Bladum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T034;Regnum Cypri;Cyprus;Plana;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
